service_id,date,exception_type
C22434AKCBR-0011,20201216,1
C22434AKCBR-0011,20201217,1
C22434AKCBR-0011,20201222,1
C22435RAAPPJOP-011,20201113,1
C22437AHCKM-0061,20201109,1
C22437AHCKM-0061,20201110,1
C22437AHCKM-0061,20201111,1
C22437AHCKM-0061,20201112,1
C22437AHCKM-0061,20201116,1
C22437AHCKM-0061,20201117,1
C22437AHCKM-0061,20201118,1
C22437AHCKM-0061,20201119,1
C22437AHCKM-0061,20201123,1
C22437AHCKM-0061,20201124,1
C22437AHCKM-0061,20201125,1
C22437AHCKM-0061,20201126,1
C22437AHCKM-0061,20201130,1
C22437AHCKM-0061,20201201,1
C22437AHCKM-0061,20201202,1
C22437AHCKM-0061,20201203,1
C22437AHCKM-0061,20201207,1
C22437AHCKM-0061,20201208,1
C22437AHCKM-0061,20201209,1
C22437AHCKM-0061,20201210,1
C22437AHCKM-0061,20201211,1
C22437AHCKM-0061,20201214,1
C22437AHCKM-0061,20201215,1
C22437AHCKM-0061,20201216,1
C22437AHCKM-0061,20201217,1
C22437AHCKM-0061,20201221,1
C22437AHCKM-0061,20201222,1
C22444K1PPCsZ-081,20201212,1
C22444K1PPCsZ-081,20201223,1
C22445RAAHCJOP-031,20201109,1
C22445RAAHCJOP-031,20201110,1
C22445RAAHCJOP-031,20201111,1
C22445RAAHCJOP-031,20201112,1
C22447RAAHCJOP-011,20201109,1
C22447RAAHCJOP-011,20201110,1
C22447RAAHCJOP-011,20201111,1
C22447RAAHCJOP-011,20201112,1
C22448RAAHCJOP-011,20201109,1
C22448RAAHCJOP-011,20201110,1
C22448RAAHCJOP-011,20201111,1
C22448RAAHCJOP-011,20201112,1
C22449RA1HCSZU-021,20201109,1
C22449RA1HCSZU-021,20201110,1
C22449RA1HCSZU-021,20201111,1
C22449RA1HCSZU-021,20201112,1
C22450APPBR-0011,20201113,1
C22450APPBR-0011,20201120,1
C22450APPBR-0011,20201127,1
C22450APPBR-0011,20201204,1
C22450APPBR-0011,20201223,1
C22450APPBR-0011,20210101,1
C22451APPKM-0061,20201113,1
C22451APPKM-0061,20201120,1
C22451APPKM-0061,20201127,1
C22451APPKM-0061,20201204,1
C22451APPKM-0061,20201218,1
C22451APPKM-0061,20210101,1
C22452ASZCsZ-091,20201114,1
C22452ASZCsZ-091,20201121,1
C22452ASZCsZ-091,20201128,1
C22452ASZCsZ-091,20201205,1
C22452ASZCsZ-091,20201219,1
